team,dark_horse_score,elite_wins,world_cup_upsets,adjusted_strength
Belgium,58.858000000000004,5,3,81.79
Croatia,49.769999999999996,6,2,66.35
Uruguay,45.39,3,3,59.7
Japan,40.946,3,2,51.98
Colombia,37.839000000000006,3,2,52.57
South Korea,35.313,2,2,42.94
Mexico,30.284000000000002,1,1,41.92
Denmark,29.756999999999998,4,0,43.66
Morocco,28.692,1,1,40.96
Turkey,25.514000000000003,3,1,20.82
Tunisia,22.528,1,1,27.14
Ecuador,19.768,1,1,27.59
Saudi Arabia,19.59,1,1,20.95
Switzerland,17.007,2,0,25.41
Ukraine,16.652,2,0,17.51
Nigeria,16.526,0,0,23.38
Cameroon,15.172,1,1,12.36
Algeria,15.046,0,0,20.48
Serbia,14.616,1,1,14.58
Iran,14.094000000000001,0,0,20.47
Austria,13.078,2,0,12.64
Czech Republic,13.063,2,0,12.19
Qatar,12.785,0,0,17.55
Canada,11.827000000000002,0,0,17.51
Senegal,11.82,0,0,13.1
Australia,11.706,0,0,15.28
Panama,9.904,0,0,11.27
Iraq,9.766,0,0,10.33
Egypt,7.08,0,0,9.4
Ivory Coast,6.68,0,0,8.4
Uzbekistan,5.572,0,0,8.11
Costa Rica,5.050000000000001,0,0,1.0
New Zealand,5.015,0,0,4.2
Peru,4.575,0,0,1.0
United Arab Emirates,3.8720000000000003,0,0,2.11
Jamaica,3.775,0,0,1.0
Chile,2.775,0,0,1.0
Poland,2.6250000000000004,0,0,1.0
Ghana,1.75,0,0,1.0
